jop title,skills,company,locations,LINKES,salaries
Senior Python Developer,"Senior Python DeveloperAdvanced control - 6th of October, Giza, Egypt 8 hours agoFull TimeOn-siteExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Django · Vue.js · MongoDB · Microservices · Laravel · Node.js",Advanced control -,"6th of October, Giza, Egypt ",https://wuzzuf.net/jobs/p/m7sdiizweffs-senior-python-developer-advanced-control-giza-egypt,5+ years of professional development experienceIn-depth knowledge of Python (Django / FastAPI is preferred)In-depth knowledge of Vue.jsIn-depth knowledge of:Repository PatternService PatternMicroservices ArchitecturePractical experience with MongoDBExperience with designing distributed systemsStrong problem-solving and analytical skills Nice to HaveExperience with Laravel (PHP)Experience with Node.jsExperience with Go (Golang)Experience with Docker & CI/CDExperience with Kafka or message brokers
Senior Python Developer,"Senior Python DeveloperAZM Squad - Cairo, Egypt 15 days agoFull TimeRemoteExperienced · 4 - 10 Yrs of Exp · IT/Software Development · Python · Django · Flask · RESTful APIs · SQL/NoSQL Databases · CI/CD Pipelines · Python Back-end Developer · FastAPI · Keycloak",AZM Squad -,"Cairo, Egypt ",https://wuzzuf.net/jobs/p/2cxtb2ki4nnb-senior-python-developer-azm-squad-cairo-egypt,"5+ years of experience as a Python Back-end Developer.Strong experience with Django, Flask, and/or FastAPI.Mandatory experience with Keycloak (authentication & authorization).Mandatory experience with OpenEdX platform.Solid understanding of microservices architecture.Strong experience with databases (SQL & NoSQL).Experience with Docker and CI/CD pipelines is a plus."
Python Developer (CAD Automation),"Python Developer (CAD Automation)StoryGold - San Francisco, United States 12 days agoFull TimeRemoteEntry Level · 0 - 2 Yrs of Exp · IT/Software Development · Python programming · Automation scripting · CAD software integration",StoryGold -,"San Francisco, United States ",https://wuzzuf.net/jobs/p/bgeuvxwt0vqw-python-developer-cad-automation-storygold-san-francisco-united-states,Proficiency in EnglishProficiency in PythonExcellent communiation skills and attention to detail
Mid Level Rest API Django Python Developer,"Mid Level Rest API Django Python DeveloperSoftware House Solution  - Heliopolis, Cairo, Egypt 1 month agoFull TimeOn-siteExperienced · 2 - 7 Yrs of Exp · IT/Software Development · Django · Python · RESTful API Development · PostgreSQL · MySQL · API Security · Unit Testing · Git · Docker",Software House Solution  -,"Heliopolis, Cairo, Egypt ",https://wuzzuf.net/jobs/p/fy3mf1q9byul-mid-level-rest-api-django-python-developer-software-house-solution-cairo-egypt,"2-7 years of professional experience in backend development with a focus on Django and Python.Proven expertise in designing and building RESTful APIs.Solid understanding of object-oriented programming and software design patterns.Experience with relational databases such as PostgreSQL or MySQL.Familiarity with version control systems, particularly Git.Ability to work effectively in a fast-paced, collaborative, and open office environment.Strong problem-solving skills and attention to detail.Excellent communication and teamwork abilities.Experience with API security, authentication, and authorization mechanisms.Ability to manage multiple tasks and prioritize effectively."
Senior Python Developer,"Senior Python DeveloperHesaab - Riyadh, Saudi Arabia 1 month agoFull TimeOn-siteExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · JavaScript · Python · Node.js · React · Angular · SQL · NoSQL · Git",Hesaab -,"Riyadh, Saudi Arabia ",https://wuzzuf.net/saudi/jobs/p/ixoxupowzpav-senior-python-developer-hesaab-riyadh-saudi-arabia,"المؤهلات المطلوبة:  بكالوريوس في علوم الحاسب، هندسة البرمجيات، أو مجال ذو صلة.إتقان إحدى لغات البرمجة مثل: Java, Python, Node.js.خبرة في تقنيات الواجهات الأمامية (React أو Angular ).معرفة قوية في قواعد البيانات (SQL / NoSQL).خبرة في استخدام أنظمة التحكم بالإصدارات (Git, GitLab, GitHub).إلمام بمفاهيم التكامل بين الأنظمة (APIs، Web Services، Microservices).مهارات تحليل وحل المشكلات. المهارات الشخصية:  قدرة عالية على التواصل والعمل ضمن فريق.إدارة الوقت والالتزام بالمواعيد النهائية.التفكير الابتكاري وإيجاد الحلول.   Requirements:  Bachelor’s degree in Computer Science, Software Engineering, or related field.Proficiency in one or more programming languages: Java, , Python, Node.js.Experience with frontend technologies (React, Angular).Strong knowledge of databases (SQL / NoSQL).Experience with version control systems (Git, GitLab, GitHub).Familiarity with system integration concepts (APIs, Web Services, Microservices).Strong problem-solving and analytical skills. Soft Skills:  Excellent communication and teamwork abilities.Strong time management and commitment to deadlines.Creativity and solution-oriented mindset."
Software Engineer Manager - Python,"Software Engineer Manager - PythonAgency - Cairo, Egypt 1 month agoFull TimePart TimeShift BasedRemoteManager · 6+ Yrs of Exp · IT/Software Development · Python · CI/CD · Docker · Software Architecture · Team Leadership · Cloud Computing · Agile Methodologies · Code Review · Problem Solving",Agency -,"Cairo, Egypt ",https://wuzzuf.net/jobs/p/t7nzqnvmj6pc-software-engineer-manager-python-agency-cairo-egypt,"Minimum of 6 years of professional experience in Python development (Must)Experience using Linux system Ubuntu (Must)Proven track record in designing and building scalable backend systems.Experience working remotely and managing tasks independently.Strong understanding of RESTful APIs and microservices architecture.Familiarity with relational and NoSQL databases such as PostgreSQL, MySQL, or MongoDB.Excellent problem-solving skills and attention to detail.Ability to work night shifts and adapt to flexible schedules.Strong communication and collaboration skills.Experience with version control systems, preferably Git.Demonstrated ability to mentor and support team members."
Python Developer,"Python DeveloperDigizilla - Nasr City, Cairo, Egypt 2 months agoFull TimeOn-siteEntry Level · 0 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Django · Python · Flask · RESTful APIs · SQL · Git · Object-Oriented Programming (OOP) · Problem Solving",Digizilla -,"Nasr City, Cairo, Egypt ",https://wuzzuf.net/jobs/p/yeifb6qizaxc-python-developer-digizilla-cairo-egypt,"◽️ Bachelor's degree in Computer Science or a related field◽️ Strong understanding of Python programming language fundamentals◽️ Experience with web frameworks such as Django or Flask◽️ Familiarity with front-end technologies like HTML, CSS, and JavaScript◽️ Knowledge of version control systems (e.g., Git)◽️ Strong problem-solving skills and attention to detail◽️ Excellent communication and teamwork abilities"
Odoo Developer – Full Stack,"Odoo Developer – Full StackTopLine  - Cairo, Egypt 1 day agoFull TimeRemoteExperienced · 3+ Yrs of Exp · males_only · IT/Software Development · Engineering - Telecom/Technology · Odoo · Python · Odoo CRM · PostgreSQL · RESTful API Integration · Version Control (Git) · Problem Solving · Odoo Development",TopLine  -,"Cairo, Egypt ",https://wuzzuf.net/jobs/p/lkwxeh0yj3r5-odoo-developer-full-stack-topline-cairo-egypt,"Technical Skills Required:Backend (Odoo + Python):Strong experience in Odoo development (v13 and above, preferably v16/v17).Proficiency in Python and Odoo ORM.Experience in developing custom modules from scratch.Deep understanding of PostgreSQL: queries, optimization, and indexing.Familiarity with Odoo workflows, server actions, scheduled jobs. Frontend:Strong knowledge of JavaScript, HTML5, CSS3.Experience with QWeb templating and Odoo frontend customization.Knowledge of Bootstrap and responsive design.Understanding of XML for view customization. DevOps / Deployment:Experience working on Linux/Ubuntu servers.Familiarity with Docker for Odoo deployment (optional but preferred).Version control with Git (GitHub or GitLab).CI/CD knowledge is a plus. Integrations:Strong experience with RESTful APIs, JSON, XML.Experience with OAuth2, JWT, and Webhooks."
Software Developer,"Software DeveloperConfidential - Giza, Egypt 7 days agoFull TimeOn-siteExperienced · 5 - 20 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Front-End Development · Back-End Development · Front-end development · Back-end development · Javascript · Python · React · Node.js",Confidential -,"Giza, Egypt ",https://wuzzuf.net/jobs/p/snhd6zpgzhid-software-developer-giza-egypt,"We are looking for passionate and skilled Software Developers to join our team! If you possess the following qualifications, we encourage you to apply:5-20 years of experience in software development.Strong proficiency in Front-End Development and Back-End Development.Expertise in programming languages such as JavaScript and Python.Solid understanding of frameworks like React and Node.js.Experience with SQL and database management.Familiarity with REST APIs and microservices.Knowledge of Agile Methodologies.Excellent problem-solving and communication skills."
Social Media Growth Infrastructure Engineer,"Social Media Growth Infrastructure EngineerAl Farouk For Educational Service  - Cairo, Egypt 7 days agoFull TimeOn-siteExperienced · 3 - 7 Yrs of Exp · males_preferred · IT/Software Development · Marketing/PR/Advertising · Engineering - Telecom/Technology · AdsPower · Multilogin · GoLogin · Python · Selenium · Playwright · Puppeteer",Al Farouk For Educational Service  -,"Cairo, Egypt ",https://wuzzuf.net/jobs/p/jammowofuann-social-media-growth-infrastructure-engineer-al-farouk-for-educational-service-cairo-egypt,"ESSENTIAL TECHNICAL SKILLS: Programming & Automation:• Strong Python programming (2+ years practical experience)• Hands-on experience with Selenium, Playwright, or Puppeteer• Web scraping libraries (Beautiful Soup, Scrapy)• REST API integration and development• Asynchronous programming (asyncio) Database & Infrastructure:• PostgreSQL or MySQL database administration• Complex SQL queries and optimization• Redis or similar caching systems (preferred)• Linux/Unix command line proficiency• Docker containerization (preferred) Specialized Tools:• Experience with browser automation platforms (AdsPower, Multilogin, GoLogin, or similar)• Understanding of proxy management (residential, mobile, datacenter)• Knowledge of browser fingerprinting and anti-detection techniques• Cloud platforms experience (AWS, DigitalOcean, Azure) Soft Skills:• Strong problem-solving and troubleshooting abilities• Attention to detail and precision• Fast learner with new technologies• Discretion handling sensitive information• Excellent English and Arabic communication Education:• Bachelor's degree in Computer Science, Software Engineering, IT, or related fieldNICE TO HAVE:• GitHub profile with automation projects• Digital marketing agency experience• Social media platform APIs experience• Freelance automation projects• OPSEC knowledge"
Lead Backend Architect,"Lead Backend Architect99 Developers - Cairo, Egypt 8 days agoFull TimeOn-siteManager · 8 - 15 Yrs of Exp · Accounting/Finance · Engineering - Construction/Civil/Architecture · IT/Software Development · JavaScript · python · fintech · Node.js · API gateway · Fintech · shadow ledger",99 Developers -,"Cairo, Egypt ",https://wuzzuf.net/jobs/p/omqiax1a1amh-lead-backend-architect-99-developers-cairo-egypt,"What We Need From YouSeven or more years of backend development experience, with at least three in a senior or lead roleDeep expertise in one or more of Java, Python, Go, or Node.jsProven experience designing distributed systems and microservices at scaleExpert level PostgreSQL skills, including schema design, query optimization, and partitioning strategiesStrong grasp of API design, RESTful principles, and security best practicesHands on experience with AWS or Google Cloud Platform, including serverless, containers, and managed databasesFamiliarity with Infrastructure as Code tools such as Terraform or CloudFormationUnderstanding of event driven architecture and message queues such as Kafka or RabbitMQExperience in fintech, banking, or another regulated industry where audit trails and compliance matterKnowledge of double entry bookkeeping, reconciliation processes, or ledger systemsSecurity first mindset with understanding of encryption, authentication, authorization, and common attack vectorsAbility to write clear technical documentation and communicate complex ideas to non technical audiencesFluent English, written and verbal, for daily communication with UK team membersWhat Sets You ApartExperience building shadow ledger or sub ledger systems that sync with primary banking infrastructureKnowledge of UK financial regulations, EMI frameworks, or GDPR data residency requirementsFamiliarity with event sourcing, CQRS, or other patterns that create immutable, auditable recordsExperience working in a zero trust or data isolated environment where production access is restrictedBackground in Islamic finance or ethical banking principlesContributions to open source projects or technical community leadership"
IT Intern,"IT InternOlam SVI - 6th of October, Giza, Egypt 6 days agoInternshipOn-siteEntry Level · IT/Software Development · Information Technology (IT) · SQL · Python · Java · Problem Solving",Olam SVI -,"6th of October, Giza, Egypt ",https://wuzzuf.net/internship/ibrbk5acua2s-it-intern-olam-svi-giza-egypt,"Education:Currently enrolled in or recently graduated from a Bachelor’s or Diploma program in Information Technology,Computer Science, or a related field.Technical Skills: Basic understanding of Windows OS, computer hardware, and network fundamentals. Familiar withMicrosoft Office tools (Excel,Word, Outlook). Interest in learning about infrastructure systems, backups, and monitoring tools. Bonus: Familiarity with SAP, IT ticketing systems, or scripting (e.g., PowerShell) is a plus.Soft Skills: Fast learner with a genuine interest in IT support and systems. Detail-oriented with good organization and follow-up habits. Able to communicate effectively andworkwell within a team. Willing to take responsibility and followtasks through to completion."
Software Developer,"Software DeveloperBimmovate - New Cairo, Cairo, Egypt 12 days agoFull TimeOn-siteEntry Level · 0 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · C# · Software Development · Application Programming Interface · Dynamo · Python · pyRevit · SQL · Azure",Bimmovate -,"New Cairo, Cairo, Egypt ",https://wuzzuf.net/jobs/p/gcd72e4h0avg-software-developer-bimmovate-cairo-egypt,"Must‑Have SkillsStrong experience with C# and .NET (Framework and .NET 6/7+) Hands‑on development using the Revit API (commands, transactions, parameters, collectors, families, geometry) Practical experience integrating with Autodesk Platform Services (APS/Forge) Understanding of ACC/BIM 360, Data Management, Model Derivative, and Webhooks Experience building workflows with Microsoft Power Automate Solid knowledge of REST APIs, JSON, authentication, and secure token flows Git version control and familiarity with DevOps/CI workflows Excellent problem‑solving and communication skills, with an understanding of AEC/BIM processes Nice-to-Have WPF/XAML (MVVM) for add‑in UI Dynamo, Python, or pyRevit scripting SQL databases, Azure Functions, or cloud automation Power BI integration or data modeling experience Knowledge of construction, coordination workflows, or MEP/Electrical modeling"
Full Stack Developer,"Full Stack DeveloperInfoPeak Software   - Maadi, Cairo, Egypt 13 days agoFull TimePart TimeOn-siteExperienced · 1 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · ASP.Net · .Net · CSS · HTML · Python · SQL · Software Engineering · Computer Science",InfoPeak Software   -,"Maadi, Cairo, Egypt ",https://wuzzuf.net/jobs/p/c6ywmgnoczzk-full-stack-developer-infopeak-software-cairo-egypt,"Bachelor’s degree in Computer Science, Engineering, or related field2-4 years of experienceJob-Specific Skills:Extensive experience  ASP.NET core, MS SQL Server, C# and experience in html , CSS ,java script and Angular are an asset,Proven experience with application architectureProven knowledge of design patterns, distributed systems, and integration testingProven knowledge of python, AI, and database SQL server"
Data Engineer,"Data EngineerConfidential - Cairo, Egypt 13 days agoFull TimeOn-siteExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Engineering · ETL Development · Python · Data Warehousing · Database Management · Data Integration · Data Modeling",Confidential -,"Cairo, Egypt ",https://wuzzuf.net/jobs/p/q8emzmntsvri-data-engineer-cairo-egypt,"Minimum 2+ years of experience in data engineering, database management, or system integration.Strong background in database design, management, and optimization.Proven experience with SQL and NoSQL databases, including schema design, indexing, and performance tuning.Hands-on experience in automation, integration, and data pipeline development.Proficiency in Python or similar programming languages.Knowledge of ETL concepts, data modeling, and reconciliation frameworks.Familiarity with event-driven architectures (e.g., Kafka or similar).Understanding of automation concepts such as telemetry, reconciliation, and closed-loop operations.Strong analytical and problem-solving skills with the ability to work across teams.Willingness to travel based on business needs."
